_is_concert,song_name_clean,stream_cnt,uniq_users,stream_cnt_ratio,uniq_users_ratio,stream_cnt_total,uniq_users_total,days_diff_song_concert,is_concert
FALSE,安靜,9372,249,0.004573526,0.015178299,2049185,16405,1367,0
FALSE,晴天娃娃,11296,240,0.005512435,0.014629686,2049185,16405,106,0
FALSE,七里香,10702,199,0.005222564,0.012130448,2049185,16405,1225,0
TRUE,夜曲,12979,188,0.006333738,0.011459921,2049185,16405,772,1
FALSE,路小雨,10401,186,0.005075676,0.011338007,2049185,16405,106,0
FALSE,藉口,10249,171,0.005001501,0.010423651,2049185,16405,1214,0
FALSE,一路向北,7895,171,0.003852751,0.010423651,2049185,16405,903,0
FALSE,楓,12314,170,0.006009218,0.010362694,2049185,16405,756,0
TRUE,白色風車,8936,167,0.004360758,0.010179823,2049185,16405,451,1
FALSE,小雨寫立可白Ⅰ,6842,159,0.003338888,0.009692167,2049185,16405,107,0
FALSE,First Kiss,6024,157,0.002939705,0.009570253,2049185,16405,106,0
FALSE,情人的眼淚,3348,154,0.00163382,0.009387382,2049185,16405,106,0
FALSE,晴天,6923,153,0.003378416,0.009326425,2049185,16405,1367,0
FALSE,園遊會,4801,140,0.002342883,0.008533984,2049185,16405,1214,0
FALSE,鬥琴,7398,137,0.003610216,0.008351112,2049185,16405,106,0
TRUE,霍元甲,6659,136,0.003249585,0.008290155,2049185,16405,688,1
FALSE,簡單愛,6319,132,0.003083665,0.008046327,2049185,16405,1367,0
FALSE,湘倫小雨四手聯彈,8744,129,0.004267062,0.007863456,2049185,16405,106,0
FALSE,擱淺,9407,129,0.004590606,0.007863456,2049185,16405,1214,0
TRUE,本草綱目,5588,127,0.002726938,0.007741542,2049185,16405,451,1
FALSE,心雨,5955,125,0.002906033,0.007619628,2049185,16405,451,0
FALSE,父與子,4061,124,0.001981763,0.007558671,2049185,16405,106,0
FALSE,夜的第七章,5760,124,0.002810874,0.007558671,2049185,16405,453,0
FALSE,腳踏車,5876,122,0.002867481,0.007436757,2049185,16405,106,0
FALSE,星晴,6505,121,0.003174433,0.0073758,2049185,16405,1367,0
FALSE,以父之名,3767,118,0.001838292,0.007192929,2049185,16405,1367,0
FALSE,淡水海邊,5896,118,0.002877241,0.007192929,2049185,16405,106,0
TRUE,迷迭香,4068,117,0.001985179,0.007131972,2049185,16405,451,1
FALSE,早操,5483,117,0.002675698,0.007131972,2049185,16405,106,0
FALSE,四面楚歌,3459,114,0.001687988,0.006949101,2049185,16405,756,0
FALSE,黑色毛衣,8038,111,0.003922535,0.00676623,2049185,16405,756,0
FALSE,回到過去,6659,108,0.003249585,0.006583359,2049185,16405,1367,0
FALSE,黑色幽默,4949,95,0.002415106,0.005790917,2049185,16405,1367,0
TRUE,雙截棍,3638,93,0.00177534,0.005669003,2049185,16405,1367,1
TRUE,黃金甲,4682,92,0.002284811,0.005608046,2049185,16405,357,1
FALSE,暗號,3654,89,0.001783148,0.005425175,2049185,16405,1367,0
FALSE,軌跡,5748,85,0.002805018,0.005181347,2049185,16405,1367,0
FALSE,可愛女人,3173,83,0.00154842,0.005059433,2049185,16405,1367,0
FALSE,分裂,2468,82,0.001204381,0.004998476,2049185,16405,1367,0
FALSE,愛在西元前,5105,80,0.002491234,0.004876562,2049185,16405,1367,0
FALSE,半島鐵盒,4315,78,0.002105715,0.004754648,2049185,16405,1367,0
FALSE,Secret-慢版,4851,78,0.002367283,0.004754648,2049185,16405,106,0
FALSE,開不了口,6100,77,0.002976793,0.004693691,2049185,16405,1367,0
FALSE,東風破,4530,75,0.002210635,0.004571777,2049185,16405,1367,0
FALSE,女孩別為我哭泣,5608,75,0.002736698,0.004571777,2049185,16405,106,0
FALSE,浪漫手機,4620,75,0.002254555,0.004571777,2049185,16405,759,0
FALSE,最後的戰役,4399,74,0.002146707,0.00451082,2049185,16405,1367,0
FALSE,Ride With Me,4644,74,0.002266267,0.00451082,2049185,16405,106,0
