_is_concert,song_name_clean,_stream_cnt_ratio,_uniq_users_ratio,_days_diff_song_concert,_stream_cnt,_uniq_users
0,美景,5.25E-05,0.000987135,994,928,616
0,屋頂上的願望,6.01E-05,0.000963098,994,1062,601
0,情人湖夜市,5.54E-05,0.000902203,994,979,563
0,龍門澡堂,5.03E-05,0.000898998,994,888,561
0,氣勢,5.31E-05,0.000876563,994,938,547
0,逛夜市,5.18E-05,0.000844513,994,915,527
0,兄弟的安慰,8.56E-05,0.000782016,994,1513,488
0,竹竿舞,3.75E-05,0.000741954,994,663,463
0,阿郎的童年,4.13E-05,0.000741954,994,730,463
0,水管的友情,4.22E-05,0.000740351,994,746,462
0,撈金魚,4.67E-05,0.000732339,994,825,457
0,Goodbye,4.06E-05,0.000722724,994,717,451
0,Strike,3.59E-05,0.000719519,994,635,449
0,悲劇的序幕,3.69E-05,0.000703494,994,652,439
0,熱血碼頭,3.67E-05,0.000701892,994,648,438
0,英雄之歌,3.58E-05,0.000697084,994,633,435
0,無助,5.28E-05,0.000657022,994,933,410
0,骰子,3.34E-05,0.000634587,994,591,396
0,亡命追逐,3.38E-05,0.000629779,994,598,393
0,威少的陷阱,3.27E-05,0.000628177,994,577,392
0,告白氣球,0.175685127,0.671359038,221,4153455,524416
0,不該,0.096838979,0.584895395,228,2289416,456877
0,愛情廢柴,0.040898469,0.317428942,221,966900,247952
0,床邊故事,0.007481133,0.073451658,237,176865,57375
0,說走就走,0.007062251,0.063184429,221,166962,49355
0,前世情人,0.005056369,0.054479047,237,119540,42555
0,Now You See Me,0.004034436,0.042872725,228,95380,33489
0,土耳其冰淇淋,0.003583153,0.036497313,221,84711,28509
0,彩虹/軌跡,0.000504283,0.005270597,266,11922,4117
0,鬥牛/水手怕水/大笨鐘,0.00020519,0.002930385,266,4851,2289
0,小幸運,0.308228053,0.758849631,479,2294797,505535
0,餘波盪漾,0.134240826,0.394607512,119,999440,262882
1,不醉不會,0.045910835,0.167426214,1067,341812,111537
1,你就不要想起我,0.045363229,0.16631091,1071,337735,110794
1,愛著愛著就永遠,0.044656189,0.164848856,1067,332471,109820
1,寂寞寂寞就好,0.037123746,0.14608833,2259,276391,97322
1,還是要幸福,0.030117418,0.116500497,1886,224228,77611
1,魔鬼中的天使,0.02760517,0.099988592,1886,205524,66611
0,人間煙火,0.024400121,0.096277916,135,181662,64139
0,看淡,0.03182162,0.094898422,314,236916,63220
0,日常,0.024042303,0.087886866,110,178998,58549
0,靈魂伴侶,0.029392111,0.084755609,110,218828,56463
1,我想我不會愛你,0.018675437,0.07710159,2250,139041,51364
1,你太猖狂,0.014788465,0.065917026,2250,110102,43913
1,渺小,0.014497402,0.064903796,1081,107935,43238
1,My Love,0.010840648,0.053612655,1903,80710,35716
0,獨善其身,0.01615728,0.048270303,110,120293,32157
0,無用,0.011866957,0.047339632,110,88351,31537
0,身體都知道,0.010842125,0.041378834,110,80721,27566
0,什麼，哪裡,0.009511188,0.037621625,110,70812,25063
0,LOVE!,0.007652254,0.036392239,2271,56972,24244
1,請你給我好一點的情敵,0.006826479,0.036242131,1886,50824,24144
0,念念有詞,0.0080732,0.033876425,110,60106,22568
0,這個人已經與我無關,0.007107199,0.030146235,1067,52914,20083
0,慢舞,0.007190206,0.029491764,110,53532,19647
1,矛盾,0.006377863,0.028774246,1067,47484,19169
1,口袋的溫度,0.004870165,0.025790095,1067,36259,17181
1,To Hebe,0.004826378,0.024914964,2250,35933,16598
1,花花世界,0.004684406,0.024269498,1886,34876,16168
1,終身大事,0.005293798,0.023056624,1067,39413,15360
1,無常,0.004537196,0.021388921,1067,33780,14249
1,超級瑪麗,0.003221302,0.019228864,2250,23983,12810
0,囚鳥,0.005715148,0.019005203,1746,42550,12661
1,你快樂未必我快樂,0.003098671,0.016003038,1067,23070,10661
0,葉子,0.003602088,0.014404386,2117,26818,9596
1,無事生非,0.002525545,0.011718949,1886,18803,7807
0,妳,0.002498816,0.01160937,1886,18604,7734
0,LOVE?,0.00199728,0.009122077,2271,14870,6077
1,十萬嬉皮,0.001788821,0.008905921,580,13318,5933
1,我對不起我,0.001803327,0.008394052,2250,13426,5592
1,烏托邦,0.001550141,0.008003771,1886,11541,5332
1,離島,0.001535501,0.00787768,2250,11432,5248
0,Love !,0.001614076,0.00741985,2117,12017,4943
0,開門見山,0.001338728,0.007091113,1746,9967,4724
1,要說什麼,0.001341683,0.007044579,1886,9989,4693
0,影子的影子,0.001500713,0.006871955,1886,11173,4578
0,舞孃,0.001293732,0.006550723,2117,9632,4364
