is_concert,uu.other,pc.other,avg.other,uu.core,pc.core,avg.core,r,u,a,_is_concert,_uu.other,_pc.other,_avg.other,_uu.core,_pc.core,_r,_u,_a
TRUE,9202,18875,2.051184525,5840,19428,3.326712329,17.49398636,17.44988194,0.044104417,TRUE,9202,18875,2.051184525,5840,19428,17.49398636,17.44988194,0.044104417
FALSE,11216,18923,1.687143367,3586,9626,2.684327942,17.43224851,17.39157224,0.040676268,FALSE,11216,18923,1.687143367,3586,9626,17.43224851,17.39157224,0.040676268
TRUE,8811,16561,1.87958234,5490,16483,3.002367942,17.30844257,17.26706997,0.041372601,TRUE,8811,16561,1.87958234,5490,16483,17.30844257,17.26706997,0.041372601
FALSE,9755,18604,1.907124552,4269,14964,3.505270555,17.26642353,17.19654658,0.069876951,FALSE,9755,18604,1.907124552,4269,14964,17.26642353,17.19654658,0.069876951
TRUE,9276,17439,1.880012937,4865,13530,2.781089414,17.25540365,17.22648525,0.028918402,TRUE,9276,17439,1.880012937,4865,13530,17.25540365,17.22648525,0.028918402
FALSE,8348,17557,2.103138476,5793,17789,3.070775073,17.25350608,17.22648525,0.02702083,FALSE,8348,17557,2.103138476,5793,17789,17.25350608,17.22648525,0.02702083
FALSE,10910,17576,1.610999083,2828,7098,2.50990099,17.15949084,17.12241099,0.037079853,FALSE,10910,17576,1.610999083,2828,7098,17.15949084,17.12241099,0.037079853
FALSE,6778,13306,1.963115963,5058,14280,2.823250297,16.61590054,16.59099862,0.024901922,FALSE,6778,13306,1.963115963,5058,14280,16.61590054,16.59099862,0.024901922
FALSE,7730,12900,1.668822768,4015,10095,2.514321295,16.59539137,16.56370361,0.031687759,FALSE,7730,12900,1.668822768,4015,10095,16.59539137,16.56370361,0.031687759
TRUE,6312,13710,2.172053232,5315,17480,3.288805268,16.56048779,16.5280274,0.032460398,TRUE,6312,13710,2.172053232,5315,17480,16.56048779,16.5280274,0.032460398
FALSE,7594,13176,1.73505399,4019,9876,2.457327693,16.54661953,16.52377319,0.022846347,FALSE,7594,13176,1.73505399,4019,9876,16.54661953,16.52377319,0.022846347
FALSE,7654,12127,1.584400314,3611,9516,2.635281086,16.4653499,16.41652569,0.048824217,FALSE,7654,12127,1.584400314,3611,9516,16.4653499,16.41652569,0.048824217
FALSE,7787,14495,1.861435726,3587,8677,2.419013103,16.46338028,16.45043208,0.012948204,FALSE,7787,14495,1.861435726,3587,8677,16.46338028,16.45043208,0.012948204
FALSE,6455,11713,1.814562355,4599,12883,2.801261144,16.38561268,16.35004963,0.035563058,FALSE,6455,11713,1.814562355,4599,12883,16.38561268,16.35004963,0.035563058
TRUE,6065,13932,2.297114592,4848,16845,3.474628713,16.33729434,16.304993,0.032301343,TRUE,6065,13932,2.297114592,4848,16845,16.33729434,16.304993,0.032301343
FALSE,7047,12219,1.733929332,3731,9504,2.547306352,16.2892698,16.26136417,0.027905631,FALSE,7047,12219,1.733929332,3731,9504,16.2892698,16.26136417,0.027905631
FALSE,5908,14075,2.382362898,4744,18451,3.889333895,16.26551422,16.22020173,0.045312492,FALSE,5908,14075,2.382362898,4744,18451,16.26551422,16.22020173,0.045312492
TRUE,6011,12852,2.138080186,4453,15620,3.507747586,16.20419672,16.15796985,0.046226869,TRUE,6011,12852,2.138080186,4453,15620,16.20419672,16.15796985,0.046226869
TRUE,5904,12207,2.067581301,4566,14115,3.091327201,16.19048526,16.15997132,0.030513934,TRUE,5904,12207,2.067581301,4566,14115,16.19048526,16.15997132,0.030513934
TRUE,6003,13232,2.204231218,4405,15823,3.592054484,16.18422026,16.13923989,0.044980372,TRUE,6003,13232,2.204231218,4405,15823,16.18422026,16.13923989,0.044980372
TRUE,6067,12810,2.111422449,4310,14388,3.338283063,16.16841315,16.12883284,0.039580316,TRUE,6067,12810,2.111422449,4310,14388,16.16841315,16.12883284,0.039580316
FALSE,6759,13628,2.016274597,3549,9879,2.783601014,16.12518489,16.10556884,0.019616049,FALSE,6759,13628,2.016274597,3549,9879,16.12518489,16.10556884,0.019616049
TRUE,5547,11672,2.104200469,4518,14960,3.311199646,16.06128707,16.02251815,0.038768922,TRUE,5547,11672,2.104200469,4518,14960,16.06128707,16.02251815,0.038768922
FALSE,5991,11178,1.865798698,3846,11961,3.109984399,15.992189,15.94295231,0.049236692,FALSE,5991,11178,1.865798698,3846,11961,15.992189,15.94295231,0.049236692
FALSE,6287,13145,2.090822332,3542,10671,3.012704687,15.96529726,15.94013079,0.02516647,FALSE,6287,13145,2.090822332,3542,10671,15.96529726,15.94013079,0.02516647
FALSE,5550,10779,1.942162162,3855,9802,2.542671855,15.80127028,15.78758015,0.01369013,FALSE,5550,10779,1.942162162,3855,9802,15.80127028,15.78758015,0.01369013
FALSE,5688,11581,2.036040788,3627,10915,3.009374138,15.78320717,15.75441257,0.028794598,FALSE,5688,11581,2.036040788,3627,10915,15.78320717,15.75441257,0.028794598
FALSE,4988,8618,1.727746592,4066,10293,2.531480571,15.68410767,15.65658666,0.027521003,FALSE,4988,8618,1.727746592,4066,10293,15.68410767,15.65658666,0.027521003
FALSE,5066,10493,2.071259376,3869,10322,2.667872835,15.62323294,15.6111482,0.012084745,FALSE,5066,10493,2.071259376,3869,10322,15.62323294,15.6111482,0.012084745
